text,label,start_char,end_char
Acme Manufacturing Pvt Ltd,ORGANIZATION,0,26
Bangalore,LOCATION,28,37
India,LOCATION,39,44
Invoice,LOCATION,45,52
INV-2024-1042,INVOICE_NUMBER,57,70
PO-88291,PO_NUMBER,86,94
03 January 2024,DATE,110,125
02 February 2024,DATE,136,152
Bill,PERSON,154,158
Mumbai,LOCATION,181,187
India,LOCATION,189,194
GSTIN: 29ABCDE1234F1Z5,TAX_ID,195,217
Acme Manufacturing,ORGANIZATION,219,237
Beta Retail Corp,ORGANIZATION,261,277
20 December 2023,DATE,299,315
Beta Retail Corp,ORGANIZATION,317,333
Rohan Mehta,PERSON,386,397
27 December 2023,DATE,425,441
Mumbai,LOCATION,463,469
30 December 2023,DATE,483,499
Beta Retail Corp,ORGANIZATION,501,517
31 December 2023,DATE,566,582
1,CARDINAL,597,598
500,CARDINAL,612,615
"$2,500.00",AMOUNT,625,634
2,CARDINAL,635,636
Aluminium Sheets,ORGANIZATION,638,654
200,CARDINAL,656,659
"$1,800.00",AMOUNT,669,678
"$4,300.00",AMOUNT,690,699
$430.00,AMOUNT,712,719
"$4,730.00",AMOUNT,734,743
Net 30,PAYMENT_TERM,759,765
Beta Retail Corp,ORGANIZATION,766,782
Acme Manufacturing,ORGANIZATION,836,854
15 days,DATE,908,915
